Data (link pndb),Title,Description,Species,Gbif link
https://pndb.opendatasoft.com/explore/assets/distribution-de-peltaster-placenta-cperm-3685-aphiaid-124055-en-atlantique/,"Distribution de Peltaster placenta (CPERM 3685, AphiaID 124055) en ATLANTIQUE","Lien vers les données Distribution du taxon Peltaster placenta établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Peltaster placenta,https://www.gbif.org/species/5186925
https://pndb.opendatasoft.com/explore/assets/distribution-de-pennatula-phosphorea-cperm-134-aphiaid-128517-en-atlantique/,"Distribution de Pennatula phosphorea (CPERM 134, AphiaID 128517) en ATLANTIQUE","Lien vers les données Distribution du taxon Pennatula phosphorea établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Pennatula phosphorea,https://www.gbif.org/species/2258697
https://pndb.opendatasoft.com/explore/assets/distribution-de-philine-aperta-cperm-317-aphiaid-140744-en-atlantique/,"Distribution de Philine aperta (CPERM 317, AphiaID 140744) en ATLANTIQUE","Lien vers les données Distribution du taxon Philine aperta établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Philine aperta,https://www.gbif.org/species/2291554
https://pndb.opendatasoft.com/explore/assets/distribution-de-plesionika-heterocarpus-cperm-883-aphiaid-107660-en-atlantique/,"Distribution de Plesionika heterocarpus (CPERM 883, AphiaID 107660) en ATLANTIQUE","Lien vers les données Distribution du taxon Plesionika heterocarpus établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Plesionika heterocarpus, Plesionika heterocarpus","https://www.gbif.org/species/2222416, https://www.gbif.org/species/2222416"
https://pndb.opendatasoft.com/explore/assets/distribution-de-plesionika-martia-cperm-884-aphiaid-107661-en-atlantique/,"Distribution de Plesionika martia (CPERM 884, AphiaID 107661) en ATLANTIQUE","Distribution du taxon Plesionika martia établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Plesionika martia, Plesionika martia","https://www.gbif.org/species/2222385, https://www.gbif.org/species/2222385"
https://pndb.opendatasoft.com/explore/assets/distribution-de-polybius-henslowii-cperm-1077-aphiaid-107399-en-atlantique/,"Distribution de Polybius henslowii (CPERM 1077, AphiaID 107399) en ATLANTIQUE","Lien vers les données Distribution du taxon Polybius henslowii établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Polybius henslowii,https://www.gbif.org/species/4307272
https://pndb.opendatasoft.com/explore/assets/distribution-de-polycheles-typhlops-cperm-953-aphiaid-107696-en-atlantique/,"Distribution de Polycheles typhlops (CPERM 953, AphiaID 107696) en ATLANTIQUE","Lien vers les données Distribution du taxon Polycheles typhlops établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Polycheles typhlops, Polycheles typhlops","https://www.gbif.org/species/5970948, https://www.gbif.org/species/5970948"
https://pndb.opendatasoft.com/explore/assets/distribution-de-pontophilus-spinosus-cperm-934-aphiaid-107564-en-atlantique/,"Distribution de Pontophilus spinosus (CPERM 934, AphiaID 107564) en ATLANTIQUE","Lien vers les données Distribution du taxon Pontophilus spinosus établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Pontophilus spinosus,https://www.gbif.org/species/2222129
https://pndb.opendatasoft.com/explore/assets/distribution-de-processa-nouveli-holthuisi-cperm-915-aphiaid-108344-en-atlantique/,"Distribution de Processa nouveli holthuisi (CPERM 915, AphiaID 108344) en ATLANTIQUE","Lien vers les données Distribution du taxon Processa nouveli holthuisi établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Processa nouveli,https://www.gbif.org/species/4310278
https://pndb.opendatasoft.com/explore/assets/distribution-de-psammechinus-miliaris-cperm-1172-aphiaid-124319-en-atlantique/,"Distribution de Psammechinus miliaris (CPERM 1172, AphiaID 124319) en ATLANTIQUE","Distribution du taxon Psammechinus miliaris établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)","Psammechinus miliaris, Psammechinus miliaris","https://www.gbif.org/species/9808074, https://www.gbif.org/species/9808074"
https://pndb.opendatasoft.com/explore/assets/distribution-de-pteroeides-griseum-cperm-3006-aphiaid-181504-en-atlantique/,"Distribution de Pteroeides griseum (CPERM 3006, AphiaID 181504) en ATLANTIQUE","Lien vers les données Distribution du taxon Pteroeides griseum établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Pteroeides griseum,https://www.gbif.org/species/4339740
