Data (link pndb),Title,Description,Species,Gbif link
https://pndb.opendatasoft.com/explore/assets/variabilite-des-traits-et-de-lenvironnement-stationnel-et-edaphique-chez-la-plante-subantarctique-lyallia-kerguelensis-iles-kerguelen-2015-2019-ipev-plantevol/,"Variabilité des traits et de l'environnement stationnel et édaphique chez la plante subantarctique Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol)","Lien vers la fiche source
Trait and environmental (geomorphological, topographical, edaphic) variability in the sub-Antarctic plant Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol) Les données présentées dans les deux tableaux ont été acquises au cours d'une étude de quatre ans (2015-2019) à travers le programme IPEV n°1116 ""PlantEvol"" (F. Hennion) et portent sur 319 plantes de Lyallia kerguelensis distribuées dans 19 populations aux Iles Kerguelen. Le tableau “individual_variables .csv"" présente les traits morphologiques et biotiques par individu. Ces traits ont été en partie mesurés directement sur les plantes in situ et en partie extraits par une approche de photointerprétation à partir d'images calibrées des plantes. Le tableau “population_variables .csv” présente la localisation et les variables environnementales par population. Ces données ont été utilisées dans le cadre de l'article « Morphological variability of cushion plant Lyallia kerguelensis (Caryophyllales) in relation to environmental conditions and geography in the Kerguelen Islands: implications for cushion necrosis and climate change », 2020, L.J Marchand, M. Tarayre, T. Dorey, Y. Rantier et F. Hennion, Polar Biology, https://doi.org/10.1007/s00300-020-02768-2 et de la thèse de L.J. Marchand. Mots-clés: morphometry, morphological trait, cushion plant, cushion necrosis, neighbouring plant, environment, sub-Antarctic, soil, fellfield, topography",Lyallia kerguelensis,https://www.gbif.org/fr/species/3701799
https://pndb.opendatasoft.com/explore/assets/suivi-lievre-gps-domagne-2022-zone-atelier-armorique-zaar/,Suivi Lievre GPS Domagné 2022 - Zone Atelier Armorique ZAAr,"Lien vers la fiche source
Localisation GPS des hases suivies (n=10) sur la zone de Domagné pour l'identification et la caractérisation des zones de mise-bas des lièvres (Lepus europaeus) au printemps 2022. Ces données sont acquises dans le cadre d'un test de faisabilité pour une étude sur l'impact du paysage sur les relations prédateurs-proies. Les localisations GPS incluent à la fois des points de gite en journée (09:00 GMT, 17:00 GMT), des points d'activité de nuit (18:00 GMT, 20:00 GMT, 22:00 GMT, 01:00 GMT) et des localisations toutes les 2 minutes au moment de l'allaitement (environ 1h après le coucher du soleil).",Lepus europaeus,https://www.gbif.org/fr/species/7952072
https://pndb.opendatasoft.com/explore/assets/la-flore-adventice-associee-au-semis-direct-sous-couvert-enquete-sur-un-reseau-dagriculteurs-en-bourgogne-franche-comte-2018-2019/,La flore adventice associée au semis direct sous couvert. Enquête sur un réseau d'agriculteurs en Bourgogne-Franche-Comté: 2018-2019.,"Lien vers les données
Les données contenues dans ce jeu de données correspondent aux observations faites lors de relevés de flore effectués sur les parcelles d’un réseau de soixante-deux agriculteurs en agriculture de conservation de la région Bourgogne-Franche et du département de la Haute Marne. Cent soixante-seize parcelles ont été échantillonnées (134 en blé tendre et 42 en soja) deux à trois fois au cours de l’année culturale. Ce sont 452 relevés floristiques qui ont ainsi été réalisés au cours de deux années successives (2018 et 2019).",,
https://pndb.opendatasoft.com/explore/assets/suivi-de-la-faune-benthique-dans-les-substrats-meubles-rade-de-brest-2023/,Suivi de la faune benthique dans les substrats meubles - Rade de Brest - 2023,"Lien vers la fiche source
Le Parc naturel régional d’Armorique est opérateur Natura 2000 des sites « Rade de Brest, estuaire de l’Aulne » (ZSC - FR5300046) et « Rade de Brest : Baie de Daoulas, Anse de Poulmic » (ZPS - FR5310071) depuis 2014. Situé sur la grande voie de migration ouest-européenne, le fond de rade constitue un site d’importance nationale voire internationale pour l’avifaune migratrice. Elle y trouve des conditions favorables à son hivernage, à savoir repos et nourriture. Cela est lié à l'existence de vastes zones d'eau peu profondes et de rivages variés (rochers, cordons de galets, vasières), offrant aux oiseaux des ressources alimentaires abondantes. Les vasières représentent un habitat particulièrement favorable pour l’alimentation de certaines de ces espèces migratrices (limicoles, anatidés), qui y trouvent une nourriture abondante. Dans ce site, les vasières intertidales représentent plus de 45 % des habitats. Dans le but de suivre l’état de conservation des vasières dans le site Natura 2000 de la rade de Brest, le Parc a décidé de réaliser une étude basée sur le programme de surveillance des habitats benthiques intertidaux avec le protocole de suivi RNF (Réserves Naturelles de France), en lien avec le life Marha. Ce protocole, mis en oeuvre depuis 2007 sur différents sites de la façade Atlantique, a pour objectif de fournir des données sur le long-terme et ainsi conduire à des analyses comparatives à caractère national. Ce protocole permet d’identifier les principales caractéristiques des communautés benthiques en utilisant des approches de description d’habitat, de communautés associées et biométriques pour certains mollusques bivalves. Le protocole a été déployé pour la première fois en 2023.",,
,,,,
https://pndb.opendatasoft.com/explore/assets/abondance-dhuitre-plate-ostrea-edulis-observee-lors-des-campagnes-scientifiques-sur-la-periode-2007-2010/,Abondance d'huître plate (Ostrea edulis) observée lors des campagnes scientifiques sur la période 2007 – 2010,Lien vers les donnéesL'abondance d'huître plate (Ostrea edulis) est exprimée en nombre d’individus par km² et observée lors de la campagne halieutique de l'Ifremer utilisant un engin de pêche ”traînant de fond” : ORHAGO (2007-2010). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).,Ostrea edulis,https://www.gbif.org/species/2286060
https://pndb.opendatasoft.com/explore/assets/suivi-de-lichtyofaune-de-la-reserve-naturelle-cerbere-banyuls-rncb-merou-corb-sar-tambour/,"Suivi de l'ichtyofaune de la Réserve Naturelle Cerbère-Banyuls (RNCB) : mérou, corb, sar tambour","Lien vers les donnéesLes données concernant le mérou Epinephelus marginatus, le corb Sciaena umbra et le sar tambour Diplodus cervinus sont extraites du jeu de données de comptage de l'ensemble des espèces. La zone d’étude se situe dans la réserve naturelle de Cerbère-Banyuls (ZPR et ZPP), et dans les zones adjacentes (HR-N et HR-S). L’ensemble des habitats rocheux de la réserve a été échantillonné. Les zones rocheuses hors réserve sont également échantillonnées mais pas sur toute leur surface. Ce suivi a été réalisé irrégulièrement (2001, 2006, 2009, 2011, 2014, 2017, 2020).","Epinephelus marginatus, Sciaena umbra, Diplodus cervinus","https://www.gbif.org/species/2388507, https://www.gbif.org/species/2399670, https://www.gbif.org/species/5712108"
https://pndb.opendatasoft.com/explore/assets/variabilite-des-traits-et-de-lenvironnement-stationnel-et-edaphique-chez-la-plante-subantarctique-lyallia-kerguelensis-iles-kerguelen-2015-2019-ipev-plantevol/,"Variabilité des traits et de l'environnement stationnel et édaphique chez la plante subantarctique Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol)","Trait and environmental (geomorphological, topographical, edaphic) variability in the sub-Antarctic plant Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol) Les données présentées dans les deux tableaux ont été acquises au cours d'une étude de quatre ans (2015-2019) à travers le programme IPEV n°1116 ""PlantEvol"" (F. Hennion) et portent sur 319 plantes de Lyallia kerguelensis distribuées dans 19 populations aux Iles Kerguelen. Le tableau “individual_variables .csv"" présente les traits morphologiques et biotiques par individu. Ces traits ont été en partie mesurés directement sur les plantes in situ et en partie extraits par une approche de photointerprétation à partir d'images calibrées des plantes. Le tableau “population_variables .csv” présente la localisation et les variables environnementales par population. Ces données ont été utilisées dans le cadre de l'article « Morphological variability of cushion plant Lyallia kerguelensis (Caryophyllales) in relation to environmental conditions and geography in the Kerguelen Islands: implications for cushion necrosis and climate change », 2020, L.J Marchand, M. Tarayre, T. Dorey, Y. Rantier et F. Hennion, Polar Biology, https://doi.org/10.1007/s00300-020-02768-2 et de la thèse de L.J. Marchand. Mots-clés: morphometry, morphological trait, cushion plant, cushion necrosis, neighbouring plant, environment, sub-Antarctic, soil, fellfield, topography",Lyallia kerguelensis,https://www.gbif.org/species/3701799
https://pndb.opendatasoft.com/explore/assets/abondance-de-petit-tacaud-trisopterus-minutus-observee-lors-des-campagnes-scientifiques-sur-la-periode-2005-2010/,Abondance de petit tacaud (Trisopterus minutus) observée lors des campagnes scientifiques sur la période 2005 – 2010,"Lien vers les donnéesL'abondance de petit tacaud (Trisopterus minutus) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : CGFS (2005-2009), EVHOE (2005-2009), LANGOLF (2006-2009), ORHAGO (2007-2010). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Trisopterus minutus,https://www.gbif.org/species/2415906
https://pndb.opendatasoft.com/explore/assets/a-gridded-sea-surface-salinity-data-set-for-the-pacific-ocean/,A gridded sea surface salinity data set for the Pacific Ocean,"Lien vers les données
The gridded Sea Surface Salinity (SSS) data set covers the region between 120°E – 70°W and 30°N – 30°S in the Pacific Ocean. It is based on available data collected from 1950 to 2009 mostly from Voluntary Observing Ships, TAO/TRITON moorings and Argo profilers, with complementary hydrocasts, STD, and CTD data collected during research cruises, and subsequently validated. This monthly SSS product is gridded using an objective mapping at the spatial resolution 1° x 1°. It is distributed with its associated error fields. It is an update of the SSS product presented in Delcroix et al (2011).",,
